SynId,KeyWord,Gloss,ParentId,SonId
SID-00031181-V,cramp,"affect with or as if with a cramp",NULL,NULL
SID-00031277-V,go_over,"fall forward and down ""The old woman went over without a sound""",NULL,NULL
SID-00031418-V,cackle,"emit a loud unpleasant kind of laughing",NULL,NULL
SID-00031540-V,laugh_loudly,"laugh boisterously",NULL,NULL
SID-00031663-V,laugh_softly,"laugh quietly or with restraint",NULL,NULL
SID-00031820-V,laugh,"produce laughter",NULL,NULL
SID-00032297-V,convulse,"be overcome with laughter",NULL,NULL
SID-00032414-V,cachinnate,"laugh loudly and in an unrestrained way",NULL,NULL
SID-00032539-V,sneer,"smile contemptuously ""she sneered at her little sister's efforts to play the song on the piano""",NULL,NULL
SID-00032778-V,sneer,"express through a scornful smile ""she sneered her contempt""",NULL,NULL
SID-00032981-V,lower,"look angry or sullen wrinkle one's forehead as if to signal disapproval",NULL,NULL
SID-00033203-V,glower,"look at with a fixed gaze ""The girl glared at the man who tried to make a pass at her""",NULL,NULL
SID-00033406-V,stare,"fixate one's eyes ""The ancestor in the painting is staring down menacingly""",NULL,NULL
SID-00033599-V,look,"have a certain outward or facial expression ""How does she look?"" ""The child looks unhappy"" ""She looked pale after the surgery""",NULL,NULL
SID-00033852-V,scowl,"frown with displeasure",NULL,NULL
SID-00033955-V,shrug,"raise one's shoulders to indicate indifference or resignation",NULL,NULL
SID-00034115-V,spat,"clap one's hands together ""The children were clapping to the music""",NULL,NULL
SID-00034288-V,pull_a_face,"contort the face to indicate a certain mental or emotional state ""He grimaced when he saw the amount of homework he had to do""",NULL,NULL
SID-00034634-V,screw_up,"twist into a strained configuration ""screw up one's face""",NULL,NULL
SID-00034758-V,pout,"make a sad face and thrust out one's lower lip ""mop and mow"" ""The girl pouted""",NULL,NULL
SID-00034948-V,blow,"free of obstruction by blowing air through ""blow one's nose""",NULL,NULL
SID-00035089-V,hawk,"clear mucus or food from one's throat ""he cleared his throat before he started to speak""",NULL,NULL
SID-00035259-V,shower,"take a shower wash one's body in the shower ""You should shower after vigorous exercise""",NULL,NULL
SID-00035448-V,foment,"bathe with warm water or medicated lotions ""His legs should be fomented""",NULL,NULL
SID-00035603-V,bathe,"cleanse the entire body ""bathe daily""",NULL,NULL
SID-00035758-V,cleanse,"clean one's body or parts thereof as by washing ""clean up before you see your grandparents"" ""clean your fingernails before dinner""",NULL,NULL
SID-00036178-V,wash,"to cleanse (itself or another animal) by licking ""The cat washes several times a day""",NULL,NULL
SID-00036362-V,wash,"cleanse (one's body) with soap and water",NULL,NULL
SID-00036685-V,sponge_down,"wash with a sponge",NULL,NULL
SID-00036780-V,scrub_up,"wash thoroughly ""surgeons must scrub prior to an operation""",NULL,NULL
SID-00036932-V,soap,"rub soap all over usually with the purpose of cleaning",NULL,NULL
SID-00037138-V,rinse,"rinse one's mouth and throat with mouthwash ""gargle with this liquid""",NULL,NULL
SID-00037298-V,shave,"remove body hair with a razor",NULL,NULL
SID-00037514-V,epilate,"remove body hair ""epilate her legs""",NULL,NULL
SID-00037680-V,razor,"shave with a razor",NULL,NULL
SID-00037779-V,tonsure,"shave the head of a newly inducted monk",NULL,NULL
SID-00037919-V,bathe,"clean one's body by immersion into water ""The child should bathe every day""",NULL,NULL
SID-00038199-V,douche,"direct a spray of water into a bodily cavity for cleaning",NULL,NULL
SID-00038365-V,disentangle,"smoothen and neaten with or as with a comb ""comb your hair before dinner"" ""comb the wool""",NULL,NULL
SID-00038687-V,slick_down,"give a smooth and glossy appearance ""slick one's hair""",NULL,NULL
SID-00038849-V,set,"arrange attractively ""dress my hair for the wedding""",NULL,NULL
SID-00039121-V,bob,"cut hair in the style of a bob ""Bernice bobs her hair these days!""",NULL,NULL
SID-00039267-V,pompadour,"style women's hair in a pompadour",NULL,NULL
SID-00039385-V,marcel,"make a marcel in a woman's hair",NULL,NULL
SID-00039488-V,wave,"set waves in ""she asked the hairdresser to wave her hair""",NULL,NULL
SID-00039680-V,goffer,"make wavy with a heated goffering iron ""goffer the trim of the dress""",NULL,NULL
SID-00039824-V,perm,"give a permanent wave to ""She perms her hair""",NULL,NULL
SID-00039950-V,mousse,"apply a styling gel to ""she mousses her hair""",NULL,NULL
SID-00040084-V,pomade,"apply pomade to (hair)",NULL,NULL
SID-00040188-V,tease,"ruffle (one's hair) by combing the ends towards the scalp for a full effect",NULL,NULL
SID-00040353-V,neaten,"care for one's external appearance ""He is always well-groomed""",NULL,NULL
SID-00040766-V,clean_up,"make oneself clean presentable or neat ""Clean up before you go to the party""",NULL,NULL
SID-00040928-V,make_up,"apply make-up or cosmetics to one's face to appear prettier ""She makes herself up every morning""",NULL,NULL
SID-00041206-V,highlight,"apply a highlighter to one's cheeks or eyebrows in order to make them more prominent ""highlight the area above your eyebrows""",NULL,NULL
SID-00041417-V,lipstick,"apply lipstick to ""She lipsticked her mouth""",NULL,NULL
SID-00041554-V,rouge,"redden by applying rouge to ""she rouged her cheeks""",NULL,NULL
SID-00041687-V,condition,"apply conditioner to in order to make smooth and shiny ""I condition my hair after washing it""",NULL,NULL
SID-00041866-V,floss,"use dental floss to clean ""floss your teeth after every meal""",NULL,NULL
SID-00042017-V,shampoo,"use shampoo on (hair)",NULL,NULL
SID-00042173-V,powder,"apply powder to ""She powdered her nose"" ""The King wears a powdered wig""",NULL,NULL
SID-00042364-V,talc,"apply talcum powder to (one's body)",NULL,NULL
SID-00042479-V,manicure,"care for (one's hand) by cutting and shaping the nails etc.",NULL,NULL
SID-00042641-V,manicure,"trim carefully and neatly ""manicure fingernails""",NULL,NULL
SID-00042792-V,barber,"perform the services of a barber: cut the hair and/or beard of",NULL,NULL
SID-00042936-V,pedicure,"care for one's feet by cutting and shaping the nails etc.",NULL,NULL
SID-00043078-V,pretty_up,"use special care in dressing making-up etc. ""She dolled herself up for the night out with her friends""",NULL,NULL
SID-00043278-V,spruce_up,"dress and groom with particular care as for a special occasion ""He spruced up for the party""",NULL,NULL
SID-00043480-V,scent,"apply perfume to ""She perfumes herself every day""",NULL,NULL
SID-00043683-V,primp,"dress or groom with elaborate care ""She likes to dress when going to the opera""",NULL,NULL
SID-00043912-V,prank,"dress up showily ""He pranked himself out in his best clothes""",NULL,NULL
SID-00044037-V,tart_up,"dress up in a cheap and provocative way",NULL,NULL
SID-00044149-V,trick_up,"put on special clothes to appear particularly appealing and attractive ""She never dresses up even when she goes to the opera"" ""The young girls were all fancied up for the party""",NULL,NULL
SID-00044797-V,dress_up,"dress in a certain manner ""She dresses in the latest Paris fashion"" ""he dressed up in a suit and tie""",NULL,NULL
SID-00045064-V,enrobe,"adorn with a robe",NULL,NULL
SID-00045145-V,prim_up,"dress primly",NULL,NULL
SID-00045240-V,dizen,"dress up garishly and tastelessly",NULL,NULL
SID-00045346-V,underdress,"dress informally and casually ""On Fridays employees can underdress""",NULL,NULL
SID-00045532-V,prink,"dress very carefully and in a finicky manner",NULL,NULL
SID-00045639-V,groom,"give a neat appearance to ""groom the dogs"" ""dress the horses""",NULL,NULL
SID-00045817-V,thin,"take off weight",NULL,NULL
SID-00046022-V,sweat_off,"lose weight by sweating ""I sweated off 3 pounds in the sauna""",NULL,NULL
SID-00046151-V,put_on,"increase (one's body weight) ""She gained 20 pounds when she stopped exercising""",NULL,NULL
SID-00046382-V,round,"become round plump or shapely ""The young woman is fleshing out""",NULL,NULL
SID-00046534-V,get_dressed,"put on clothes ""we had to dress quickly"" ""dress the patient"" ""Can the child dress by herself?""",NULL,NULL
SID-00047032-V,bundle_up,"dress warmly ""Mother bundled up the children for the long way to school""",NULL,NULL
SID-00047172-V,hat,"put on or wear a hat ""He was unsuitably hatted""",NULL,NULL
SID-00047317-V,try_on,"put on a garment in order to see whether it fits and looks nice ""Try on this sweater to see how it looks""",NULL,NULL
SID-00047511-V,bonnet,"dress in a bonnet",NULL,NULL
SID-00047610-V,wear,"have or show an appearance of ""wear one's hair in a certain way""",NULL,NULL
SID-00047745-V,wear,"have on one's person ""He wore a red ribbon"" ""bear a scar""",NULL,NULL
SID-00047945-V,tog,"provide with clothes or put clothes on ""Parents must feed and dress their child""",NULL,NULL
SID-00048633-V,wrap_up,"clothe as if for protection from the elements ""cover your head!""",NULL,NULL
SID-00048790-V,jacket,"put a jacket on ""The men were jacketed""",NULL,NULL
SID-00048912-V,frock,"put a frock on",NULL,NULL
SID-00049007-V,shirt,"put a shirt on",NULL,NULL
SID-00049102-V,habit,"put a habit on",NULL,NULL
SID-00049197-V,vesture,"provide or cover with a cloak",NULL,NULL
SID-00049309-V,overdress,"dress too warmly ""You should not overclothe the child--she will be too hot""",NULL,NULL
SID-00049483-V,underdress,"dress without sufficient warmth ""She was underdressed for the hiking trip and suffered hypothermia""",NULL,NULL
SID-00049669-V,corset,"dress with a corset",NULL,NULL
SID-00049770-V,shoe,"furnish with shoes ""the children were well shoed""",NULL,NULL
SID-00049900-V,undress,"get undressed ""please don't undress in front of everybody!"" ""She strips in front of strangers every night for a living""",NULL,NULL
SID-00050315-V,peel_off,"take off as with some difficulty ""He peeled off his blood-soaked shirt""",NULL,NULL
SID-00050454-V,take_off,"remove clothes ""take off your shirt--it's very hot in here""",NULL,NULL
SID-00050652-V,wear,"put clothing on one's body ""What should I wear today?"" ""He put on his best suit for the wedding"" ""The princess donned a long blue dress"" ""The queen assumed the stately robes"" ""He got into his jeans""",NULL,NULL
SID-00051060-V,scarf,"wrap in or adorn with a scarf",NULL,NULL
SID-00051170-V,slip_on,"put on with ease or speed ""slip into something more comfortable after work"" ""slip on one's shoes""",NULL,NULL
SID-00051370-V,slip_off,"take off with ease or speed ""She slipped off her jacket""",NULL,NULL
SID-00051511-V,coat,"cover or provide with a coat",NULL,NULL
SID-00051637-V,cross-dress,"dress in the clothes of the other sex",NULL,NULL
SID-00051761-V,dress_up,"dress in a costume ""We dressed up for Halloween as pumpkins""",NULL,NULL
SID-00051942-V,dandify,"dress like a dandy",NULL,NULL
SID-00052043-V,vest,"clothe formally especially in ecclesiastical robes",NULL,NULL
SID-00052253-V,vest,"clothe oneself in ecclesiastical garments",NULL,NULL
SID-00052374-V,wear,"be dressed in ""She was wearing yellow that day""",NULL,NULL
SID-00052548-V,inseminate,"introduce semen into (a female)",NULL,NULL
SID-00052845-V,stratify,"render fertile and preserve by placing between layers of earth or sand ""stratify seeds""",NULL,NULL
SID-00053035-V,quicken,"show signs of life ""the fetus quickened""",NULL,NULL
SID-00053159-V,prang_up,"make pregnant ""He impregnated his wife again""",NULL,NULL
SID-00053341-V,impregnate,"fertilize and cause to grow ""the egg was impregnated""",NULL,NULL
SID-00053517-V,inoculate,"impregnate with the virus or germ of a disease in order to render immune",NULL,NULL
SID-00053656-V,cross-fertilize,"cause to undergo cross-fertilization ""Mendel cross-fertilized different kinds of beans""",NULL,NULL
SID-00053889-V,cross-fertilize,"undergo cross-fertilization become fertile",NULL,NULL
SID-00054059-V,pollinate,"fertilize by transfering pollen",NULL,NULL
SID-00054285-V,conceive,"become pregnant undergo conception ""She cannot conceive"" ""My daughter was conceived in Christmas Day""",NULL,NULL
SID-00054535-V,nick,"mate successfully of livestock",NULL,NULL
SID-00054628-V,sire,"make children ""Abraham begot Isaac"" ""Men often father children but don't recognize them""",NULL,NULL
SID-00055010-V,ejaculate,"eject semen",NULL,NULL
SID-00055142-V,reproduce,"have offspring or produce more individuals of a given animal or plant ""The Bible tells people to procreate""",NULL,NULL
SID-00055539-V,propagate,"multiply sexually or asexually",NULL,NULL
SID-00055709-V,vegetate,"propagate asexually ""The bacterial growth vegetated along""",NULL,NULL
SID-00055871-V,propagate,"cause to propagate as by grafting or layering",NULL,NULL
SID-00056093-V,inoculate,"insert a bud for propagation",NULL,NULL
SID-00056188-V,set,"bear fruit ""the apple trees fructify""",NULL,NULL
SID-00056334-V,multiply,"have young (animals) or reproduce (organisms) ""pandas rarely breed in captivity"" ""These bacteria reproduce""",NULL,NULL
SID-00056589-V,pullulate,"breed freely and abundantly",NULL,NULL
SID-00056683-V,spawn,"lay spawn ""The salmon swims upstream to spawn""",NULL,NULL
SID-00056829-V,spat,"spawn ""oysters spat""",NULL,NULL
SID-00056930-V,have,"cause to be born ""My wife had twins yesterday!""",NULL,NULL
SID-00057410-V,lie_in,"be in confinement for childbirth",NULL,NULL
SID-00057506-V,labour,"undergo the efforts of childbirth",NULL,NULL
SID-00057665-V,twin,"give birth to twins",NULL,NULL
SID-00057764-V,drop,"give birth used for animals ""The cow dropped her calf this morning""",NULL,NULL
SID-00057895-V,foal,"give birth to a foal ""the mare foaled""",NULL,NULL
SID-00058014-V,cub,"give birth to cubs ""bears cub every year""",NULL,NULL
SID-00058135-V,kitten,"have kittens ""our cat kittened again this year""",NULL,NULL
SID-00058265-V,lamb,"give birth to a lamb ""the ewe lambed""",NULL,NULL
SID-00058401-V,litter,"give birth to a litter of animals",NULL,NULL
SID-00058516-V,whelp,"birth ""the dog whelped""",NULL,NULL
SID-00058645-V,pig,"give birth ""sows farrow""",NULL,NULL
SID-00058794-V,fawn,"have fawns ""deer fawn""",NULL,NULL
SID-00058897-V,have_young,"birth ""the whales calve at this time of year""",NULL,NULL
SID-00059019-V,have_a_bun_in_the_oven,"be pregnant with ""She is bearing his child"" ""The are expecting another child in January"" ""I am carrying his child""",NULL,NULL
SID-00059376-V,expect,"look forward to the birth of a child ""She is expecting in March""",NULL,NULL
SID-00059559-V,carry_to_term,"carry out a pregnancy ""She decided to carry the child to term even though the foetus was shown to be defective""",NULL,NULL
SID-00059769-V,miscarry,"suffer a miscarriage",NULL,NULL
SID-00059899-V,abort,"terminate a pregnancy by undergoing an abortion",NULL,NULL
SID-00060063-V,abort,"cease development die and be aborted ""an aborting fetus""",NULL,NULL
SID-00060185-V,incubate,"sit on (eggs) ""Birds brood"" ""The female covers the eggs""",NULL,NULL
SID-00060477-V,spay,"remove the ovaries of ""Is your cat spayed?""",NULL,NULL
SID-00060701-V,defeminize,"remove the ovaries of (female mammals such as cats)",NULL,NULL
SID-00060833-V,emasculate,"remove the testicles of a male animal",NULL,NULL
SID-00061079-V,caponize,"convert a cock into a capon",NULL,NULL
SID-00061219-V,geld,"cut off the testicles (of male animals such as horses) ""the vet gelded the young horse""",NULL,NULL
