SynId,KeyWord,Gloss,ParentId,SonId
SID-00082160-A,unfrightened,"not affected by fright",NULL,NULL
SID-00082241-A,aggressive,"having or showing determination and energetic pursuit of your ends ""an aggressive businessman"" ""an aggressive basketball player"" ""he was aggressive and imperious positive in his convictions"" ""aggressive drivers""",NULL,NULL
SID-00082766-A,combative,"having or showing a ready disposition to fight ""bellicose young officers"" ""a combative impulse"" ""a contentious nature""",NULL,NULL
SID-00083003-A,militant,"showing a fighting disposition ""highly competitive sales representative"" ""militant in fighting for better wages for workers"" ""his self-assertive and ubiquitous energy""",NULL,NULL
SID-00083749-A,in-your-face,"blatantly aggressive ""on-line hard-boiled in-your-face pornography""",NULL,NULL
SID-00084353-A,rough,"ready and able to resort to force or violence ""pugnacious spirits...lamented that there was so little prospect of an exhilarating disturbance""- Herman Melville ""they were rough and determined fighting men""",NULL,NULL
SID-00084661-A,scrappy,"full of fighting spirit ""a scrappy admiral""",NULL,NULL
SID-00087837-A,churning,"moving with or producing or produced by vigorous agitation ""winds whipped the piled leaves into churning masses"" ""a car stuck in the churned-up mud""",NULL,NULL
SID-00088899-A,unstirred,"not agitated by stirring ""the ingredients sat in the bowl unstirred while she buttered the pan""",NULL,NULL
SID-00089051-A,agreeable,"conforming to your own liking or feelings or nature ""Is the plan agreeable to you?"" ""he's an agreeable fellow"" ""My idea of an agreeable person...is a person who agrees with me""- Disraeli ""an agreeable manner""",NULL,NULL
SID-00091311-A,watchful,"engaged in or accustomed to close observation ""caught by a couple of alert cops"" ""alert enough to spot the opportunity when it came"" ""constantly alert and vigilant like a sentinel on duty""",NULL,NULL
SID-00091764-A,wakeful,"carefully observant or attentive on the lookout for possible danger ""a policy of open-eyed awareness"" ""the vigilant eye of the town watch"" ""there was a watchful dignity in the room"" ""a watchful parent with a toddler in tow""",NULL,NULL
SID-00092275-A,wide-awake,"fully alert and watchful ""played heads-up ball""",NULL,NULL
SID-00093556-A,transferrable,"legally transferable to the ownership of another ""negotiable bonds""",NULL,NULL
SID-00094239-A,non-negotiable,"cannot be bought or sold",NULL,NULL
SID-00094448-A,live,"possessing life ""the happiest person alive"" ""the nerve is alive"" ""doctors are working hard to keep him alive"" ""burned alive"" ""a live canary""",NULL,NULL
SID-00094799-A,liveborn,"(of newborn infant) showing signs of life after birth not stillborn ""a liveborn baby""",NULL,NULL
SID-00094941-A,viable,"capable of life or normal growth and development ""viable seeds"" ""a viable fetus""",NULL,NULL
SID-00097674-A,late,"having died recently ""her late husband""",NULL,NULL
SID-00098736-A,eccrine,"(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell important in regulating body temperature",NULL,NULL
SID-00099290-A,live,"exerting force or containing energy ""live coals"" ""tossed a live cigarette out the window"" ""got a shock from a live wire"" ""live ore is unmined ore"" ""a live bomb"" ""a live ball is one in play""",NULL,NULL
SID-00101452-A,precocial,"(of hatchlings) covered with down and having eyes open capable of leaving the nest within a few days",NULL,NULL
SID-00101609-A,selfless,"showing unselfish concern for the welfare of others",NULL,NULL
SID-00101800-A,self-centred,"limited to or caring only about yourself and your own needs",NULL,NULL
SID-00102079-A,self-involved,"absorbed in your own interests or thoughts etc",NULL,NULL
SID-00102201-A,ambiguous,"having more than one possible meaning ""ambiguous words"" ""frustrated by ambiguous instructions the parents were unable to assemble the toy""",NULL,NULL
SID-00102578-A,double-barrelled,"having two purposes twofold ""our double-barreled desire to make things profitable as well as attractive""- Louis Kronenbergers",NULL,NULL
SID-00102930-A,oracular,"resembling an oracle in obscurity of thought ""the oracular sayings of Victorian poets"" ""so enigmatic that priests might have to clarify it"" ""an enigmatic smile""",NULL,NULL
SID-00103302-A,multivalent,"having many values meanings or appeals ""subtle multivalent allegory""",NULL,NULL
SID-00103696-A,unambiguous,"having or exhibiting a single clearly defined meaning ""As a horror apartheid...is absolutely unambiguous""- Mario Vargas Llosa",NULL,NULL
SID-00103953-A,monosemous,"having only one meaning",NULL,NULL
SID-00104051-A,ambitious,"having a strong desire for success or achievement",NULL,NULL
SID-00104318-A,pushy,"marked by aggressive ambition and energy and initiative ""an aggressive young executive"" ""a pushful insurance agent""",NULL,NULL
SID-00104533-A,wishful,"desiring or striving for recognition or advancement",NULL,NULL
SID-00104699-A,driven,"strongly motivated to succeed",NULL,NULL
SID-00104825-A,would-be,"unfulfilled or frustrated in realizing an ambition",NULL,NULL
SID-00104942-A,overambitious,"excessively ambitious",NULL,NULL
SID-00105023-A,unambitious,"having little desire for success or achievement",NULL,NULL
SID-00106182-A,generous,"more than adequate ""a generous portion""",NULL,NULL
SID-00107648-A,anabolic,"characterized by or promoting constructive metabolism ""some athletes take anabolic steroids to increase muscle size temporarily""",NULL,NULL
SID-00110853-A,analytical,"of a proposition that is necessarily true independent of fact or experience ""`all spinsters are unmarried' is an analytic proposition""",NULL,NULL
SID-00111415-A,uninflected,"expressing a grammatical category by using two or more words rather than inflection",NULL,NULL
SID-00115193-A,sore,"roused to anger ""stayed huffy a good while""- Mark Twain ""she gets mad when you wake her up so early"" ""mad at his friend"" ""sore over a remark""",NULL,NULL
SID-00115906-A,livid,"furiously angry ""willful stupidity makes him absolutely livid""",NULL,NULL
SID-00116058-A,smouldering,"showing scarcely suppressed anger ""her tone was...conversational although...her eyes were smoldering""- James Hensel",NULL,NULL
SID-00116744-A,bitter,"marked by strong resentment or cynicism ""an acrimonious dispute"" ""bitter about the divorce""",NULL,NULL
SID-00116940-A,rancorous,"showing deep-seated resentment ""preserve...from rancourous envy of the rich""- Aldous Huxley",NULL,NULL
SID-00118567-A,animated,"having life or vigor or spirit ""an animated and expressive face"" ""animated conversation"" ""became very animated when he heard the good news""",NULL,NULL
SID-00118844-A,spirited,"made lively or spirited ""a meal enlivened by the music"" ""a spirited debate""",NULL,NULL
SID-00119006-A,vital,"full of spirit ""a dynamic full of life woman"" ""a vital and charismatic leader"" ""this whole lively world""",NULL,NULL
SID-00119279-A,revived,"given fresh life or vigor or spirit ""stirred by revived hopes""",NULL,NULL
SID-00119533-A,lifeless,"lacking animation or excitement or activity ""the party being dead we left early"" ""it was a lifeless party until she arrived""",NULL,NULL
SID-00119875-A,enlivened,"made sprightly or cheerful",NULL,NULL
SID-00119993-A,perked_up,"made or become more cheerful or lively ""his attention made her feel all perked up""",NULL,NULL
SID-00122245-A,prevenient,"in anticipation",NULL,NULL
SID-00128467-A,precedented,"having or supported or justified by a precedent",NULL,NULL
SID-00132849-A,appealable,"capable of being appealed especially to a higher tribunal ""decisions...appealable to the head of the agency""- New Republic",NULL,NULL
SID-00133417-A,appetizing,"appealing to or stimulating the appetite especially in appearance or aroma",NULL,NULL
SID-00133669-A,savoury,"pleasing to the sense of taste",NULL,NULL
SID-00135342-A,pat,"exactly suited to the occasion ""a pat reply""",NULL,NULL
SID-00137725-A,due,"suitable to or expected in the circumstances ""all due respect"" ""due cause to honor them"" ""a long due promotion"" ""in due course"" ""due esteem"" ""exercising due care""",NULL,NULL
SID-00138169-A,apropos,"of an appropriate or pertinent nature",NULL,NULL
SID-00138314-A,pertinent,"being of striking appropriateness and pertinence ""the successful copywriter is a master of apposite and evocative verbal images"" ""an apt reply""",NULL,NULL
SID-00138912-A,a_priori,"involving deductive reasoning from a general principle to a necessary effect not supported by fact ""an a priori judgment""",NULL,NULL
SID-00139126-A,a_posteriori,"involving reasoning from facts or particulars to general principles or from effects to causes ""a posteriori demonstration""",NULL,NULL
SID-00139492-A,porticoed,"marked by columniation having free columns in porticoes either at both ends or at both sides of a structure",NULL,NULL
SID-00139702-A,pseudoprostyle,"marked by columniation having free columns in a portico only across the opening to the structure",NULL,NULL
SID-00140542-A,columned,"having or resembling columns having columns of a specified kind (often used as a combining form) ""a columned portico"" ""trees with columned trunks"" ""white-columned houses""",NULL,NULL
SID-00140989-A,columnar,"characterized by columns ""columnar construction""",NULL,NULL
SID-00141316-A,colonnaded,"having a series of columns arranged at regular intervals",NULL,NULL
SID-00141429-A,pillared,"having pillars ""the pillared portico""",NULL,NULL
SID-00142407-A,armed,"(used of persons or the military) characterized by having or bearing arms ""armed robbery""",NULL,NULL
SID-00143201-A,barehanded,"with bare hands ""fought barehanded""",NULL,NULL
SID-00143294-A,clean,"not carrying concealed weapons",NULL,NULL
SID-00144102-A,bulletproof,"not penetrable by bullets ""bulletproof glass"" ""bulletproof vest""",NULL,NULL
SID-00147734-A,artful,"marked by skill in achieving a desired end especially with cunning or craft ""the artful dodger"" ""an artful choice of metaphors""",NULL,NULL
SID-00148078-A,wily,"marked by skill in deception ""cunning men often pass for wise"" ""deep political machinations"" ""a foxy scheme"" ""a slick evasive answer"" ""sly as a fox"" ""tricky Dick"" ""a wily old attorney""",NULL,NULL
SID-00148642-A,precious,"obviously contrived to charm ""an insufferably precious performance"" ""a child with intolerably cute mannerisms""",NULL,NULL
SID-00148852-A,scheming,"concealing crafty designs for advancing your own interest ""a selfish and designing nation obsessed with the dark schemes of European intrigue""- W.Churchill ""a scheming wife"" ""a scheming gold digger""",NULL,NULL
SID-00149120-A,deep,"exhibiting great cunning usually with secrecy ""deep political machinations"" ""a deep plot""",NULL,NULL
SID-00149262-A,elusive,"skillful at eluding capture ""a cabal of conspirators each more elusive than the archterrorist""- David Kline",NULL,NULL
SID-00149461-A,manipulative,"skillful in influencing or controlling others to your own advantage ""the early manipulative techniques of a three-year-old child""",NULL,NULL
SID-00150505-A,smooth-spoken,"expressing yourself readily clearly effectively ""able to dazzle with his facile tongue"" ""silver speech""",NULL,NULL
SID-00150835-A,speech-endowed,"capable of speech ""the speaking animal""",NULL,NULL
